slot,sync,sync_applied,sync_reason,sync_cost,sync_bandwidth,matured_sync_bandwidth,total_sync_cost,remaining_budget,pending_syncs,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,pred_margin,pred_error_radius,pred_loss_ub,cert_base_bound,cert_empirical_upper_bound,cert_required_margin,cert_slack,certified_safe,realized_loss,cert_cover,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
24,1,0,periodic_k=4,1.0,1.0,0.0,7.0,73.0,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.2354652701967,260.19941591607517,386.6034886035279,256.23797744740955,4.756079889458618,3,2.5258366181855894,0.9266954737759757,0.07330452622402425,4.894662446103494,4.8976071007767645,4.38408465926178,10.62233587204485,0.10099238141412499,0.10099238141412499,0.0,0.18240719866314803,4.201677460598632,1,0.0,1,4.965209661468642,0.06760256069187766,0,1,0,0.0,1.5
25,0,1,periodic_k=4,0.0,0.0,1.0,7.0,73.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.4928580345738,257.64202461861066,388.4054618267798,256.84551696030564,1.347907623861286,0,0.7626605929578163,0.9939165654744808,0.006083434525519158,4.895457854431023,4.896172087582514,4.38459061736948,0.0,0.007626605929578163,0.007626605929578163,0.0,0.08780287198887395,4.296787745380606,1,0.0,1,4.965209661468642,0.06903757388612837,0,1,0,0.0,1.5
26,0,0,periodic_k=4,0.0,0.0,0.0,7.0,73.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.64200625778994,255.18475233943184,388.6911365297934,253.3037586367625,2.107674203737831,1,1.153549066652905,0.9731435367749782,0.026856463225021738,4.893264179410418,4.894696039157179,4.3831309816464845,3.361794517523592,0.03570625777167061,0.03570625777167061,0.0,0.11625779213008826,4.266873189516396,1,0.0,1,4.965209661468642,0.07051362231146265,0,1,0,0.0,1.5
27,0,0,periodic_k=4,0.0,0.0,0.0,7.0,73.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.84915186401025,252.55657654553087,388.97681123280705,249.76200031321935,2.927564601345031,2,1.7687291505255684,0.9513380630448715,0.04866193695512859,4.8909068412410175,4.893041969143931,4.381558906824049,7.0726529587384555,0.06812320925768642,0.06812320925768642,0.0,0.14910734746861284,4.232451559355436,1,0.0,1,4.965209661468642,0.07216769232471182,0,1,0,0.0,1.5
28,1,0,periodic_k=4,1.0,1.0,0.0,8.0,72.0,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.8967137713333,250.24425366372108,389.2624859358207,246.2202419896762,4.0736856653635565,3,2.5258331806119148,0.9282308745304844,0.07176912546951567,4.888382144152212,4.891479447182016,4.379871309549174,9.638435933474062,0.09508894740696353,0.09508894740696353,0.0,0.17640537431837214,4.203465935230803,1,0.0,1,4.965209661468642,0.07373021428662573,0,1,0,0.0,1.5
29,0,1,periodic_k=4,0.0,0.0,1.0,8.0,72.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.80390980941723,247.8812862349883,389.49058474853445,247.4523006029783,0.5312261912295064,0,0.7626604983273514,0.9957540990764242,0.004245900923575795,4.889368991129982,4.889768521437956,4.380526668230415,0.0,0.007626604983273514,0.007626604983273514,0.0,0.08780287103310624,4.292723797197309,1,0.0,1,4.965209661468642,0.07544114003068587,0,1,0,0.0,1.5
30,0,0,periodic_k=4,0.0,0.0,0.0,8.0,72.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.44515791574054,245.52737797922396,389.85009240835274,244.30934545291282,1.2835790503350322,1,1.153548864792126,0.9749977516775776,0.025002248322422323,4.887076482913912,4.887904731961227,4.378990324840207,3.2810894560625234,0.035222025384296404,0.035222025384296404,0.0,0.11576548921638187,4.263224835623825,1,0.0,1,4.965209661468642,0.07730492950741519,0,1,0,0.0,1.5
31,0,0,periodic_k=4,0.0,0.0,0.0,8.0,72.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.30433721367973,243.03112621484226,390.209600068171,241.16639030284733,2.0728581372600696,2,1.7687288882497125,0.953261153638166,0.046738846361834,4.884653187849234,4.8858967776485,4.377362727007067,6.800441317046979,0.066489936784779,0.066489936784779,0.0,0.14744685380530867,4.229915873201758,1,0.0,1,4.965209661468642,0.07931288382014215,0,1,0,0.0,1.5
32,1,0,periodic_k=4,1.0,1.0,0.0,9.0,71.0,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.4485612113515,240.66508556765123,390.5691077279893,238.02343515278184,2.8694845199667465,3,2.5258328776279932,0.9309403283195629,0.06905967168043715,4.882097336734198,4.88399187568334,4.375642136556488,9.811296657500728,0.0961261087212843,0.0961261087212843,0.0,0.17745982167479715,4.198182314881691,1,0.0,1,4.965209661468642,0.08121778578530248,0,1,0,0.0,1.5
33,0,1,periodic_k=4,0.0,0.0,1.0,9.0,71.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.6481767440433,238.1355399222984,389.6741780529082,236.89851954991468,1.2372936069320897,0,0.7626604899867104,0.994165447424456,0.005834552575544044,4.880791469399484,4.881881967680343,4.374780121192793,0.0,0.007626604899867105,0.007626604899867105,0.0,0.08780287094886578,4.286977250243927,1,0.0,1,4.965209661468642,0.08332769378829907,0,1,0,0.0,1.5
34,0,0,periodic_k=4,0.0,0.0,0.0,9.0,71.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.2140430023164,235.23873003859208,389.74400726880856,233.39144215600024,1.9218050486272678,1,1.1535488661880517,0.9735617431758364,0.026438256824163557,4.877569726482428,4.879105834247064,4.372610879640037,3.8291602223238685,0.03851044999582373,0.03851044999582373,0.0,0.11910872090467492,4.253502158735362,1,0.0,1,4.965209661468642,0.08610382722157825,0,1,0,0.0,1.5
35,0,0,periodic_k=4,0.0,0.0,0.0,9.0,71.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,387.1471020010695,233.59089535364276,389.81383648470893,229.8843647620858,4.566162703231146,2,1.7687288909599188,0.9476512183538902,0.05234878164610975,4.874154338767992,4.876711036912042,4.370305032690988,7.0868153936211264,0.06820818127132594,0.06820818127132594,0.0,0.14919373569978406,4.221111296991204,1,0.0,1,4.965209661468642,0.08849862455660067,0,1,0,0.0,1.5
36,1,0,periodic_k=4,1.0,1.0,0.0,10.0,70.0,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,385.1076913314951,231.7096796344646,389.8836657006093,226.37728736817135,7.15851510133629,3,2.525832878890538,0.9212900095064311,0.0787099904935688,4.870541144228661,4.873916116667128,4.367858726321315,11.023672035304635,0.10340036100073319,0.10340036100073319,0.0,0.1848553114921527,4.183003414829162,1,0.0,1,4.965209661468642,0.09129354480151457,0,1,0,0.0,1.5
37,0,1,periodic_k=4,0.0,0.0,1.0,10.0,70.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,383.72969286786457,229.83503349017982,383.61195267421925,229.3704236130377,0.47929645433453416,0,0.7626604900214659,0.9958709410176614,0.004129058982338565,4.870698901447175,4.871263233338551,4.368094474589639,0.0,0.007626604900214658,0.007626604900214658,0.0,0.08780287094921681,4.280291603640422,1,0.0,1,4.965209661468642,0.09394642813009109,0,1,0,0.0,1.5
38,0,0,periodic_k=4,0.0,0.0,0.0,10.0,70.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,381.676919298425,227.9655566144433,381.65170051564115,226.83218999695745,1.133647157027446,1,1.1535488649303505,0.9753350984369669,0.024664901563033154,4.866767744120039,4.868084375775678,4.365478514906064,3.676476745140018,0.037594349120143616,0.037594349120143616,0.0,0.11817735168115065,4.247301163224913,1,0.0,1,4.965209661468642,0.0971252856929647,0,1,0,0.0,1.5
39,0,0,periodic_k=4,0.0,0.0,0.0,10.0,70.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,380.1612447866958,225.67959353451923,379.69144835706305,224.2939563808772,1.4631127799485795,2,1.7687288882395658,0.9546330806921575,0.04536691930784256,4.862522822994047,4.864509248377236,4.3626476761650075,7.285579797352846,0.06940076766651274,0.06940076766651274,0.0,0.150406198535072,4.212241477629935,1,0.0,1,4.965209661468642,0.10070041309140593,0,1,0,0.0,1.5
