episode_length,total_secrecy_rate,avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,certificate_in_policy_cover_rate,certificate_empirical_cover_rate,certificate_margin_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,r_min,config_path
160.0,200.87105403795837,0.1078125,0.1078125,0.43125,0.38125,0.43125,0.9332127990869298,0.06678720091307022,1.25544408773724,0.10351053013369038,0.09664160375561721,-0.09437841230949864,0.25625,0.74375,1.0,1.0,1.0,1.0,0.875,0.0,1.0,rollout_joint,79,294.10621044799973,1838.163815299998,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,200.9474537893193,0.1078125,0.1078125,0.43125,0.4,0.43125,0.934110925730743,0.06588907426925697,1.2559215861832456,0.10291731790054917,0.0951545883540705,-0.08839415526290442,0.225,0.775,1.0,1.0,1.0,1.0,0.9,0.0,1.0,rollout_joint,80,293.158325718,1832.2395357375,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,201.1713305169257,0.10625,0.10625,0.425,0.4,0.425,0.9355596547398107,0.06444034526018917,1.2573208157307856,0.09998840626249268,0.09152339754583975,-0.08892633061438127,0.225,0.775,1.0,1.0,1.0,1.0,0.9,0.0,1.0,rollout_joint,81,312.72839443799967,1954.5524652374982,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,138.1276165884608,0.11875,0.11875,0.275,0.25,0.275,0.5497811424952902,0.4502188575047098,0.86329760367788,1.1572288301303886,1.1430011884699283,-4.782041386359219,0.21875,0.78125,1.0,1.0,1.0,1.0,0.8875,0.46875,0.53125,security_margin,62,21.542777659999956,134.64236037499973,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,124.59686308038042,0.11841064516513711,0.11841064516513711,0.3,0.275,0.3,0.5363641845370116,0.46363581546298827,0.7787303942523776,1.4868712349756343,1.4824448035506919,-4.519939647748733,0.225,0.775,1.0,1.0,1.0,1.0,0.9,0.44375,0.55625,security_margin,63,21.27497096800016,132.968568550001,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,128.9223030947585,0.11868005189501744,0.11868005189501744,0.29375,0.28125,0.29375,0.5568817638766707,0.44311823612332935,0.8057643943422406,1.4327778857075355,1.4235526599596617,-3.896932593578515,0.25,0.75,1.0,1.0,1.0,1.0,0.9125,0.425,0.575,security_margin,64,21.90269559699982,136.89184748124887,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,126.02934814567313,0.11810780401775763,0.11810780401775763,0.29375,0.25625,0.29375,0.5293926421132359,0.4706073578867641,0.787683425910457,1.5067630148407292,1.4998004257435416,-4.52238031935083,0.20625,0.79375,1.0,1.0,1.0,1.0,0.8625,0.45625,0.54375,security_margin,65,22.863599485000123,142.89749678125077,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,128.22721902127734,0.11875000000000002,0.11875000000000002,0.31875,0.29375,0.31875,0.5606987961766892,0.4393012038233108,0.8014201188829834,1.417170611585071,1.41066652244619,-3.743547303413397,0.225,0.775,1.0,1.0,1.0,1.0,0.9,0.4125,0.5875,security_margin,66,22.394495737999932,139.96559836249958,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,124.03101253573686,0.11875,0.11875,0.31875,0.31875,0.31875,0.5673331099256065,0.4326668900743935,0.7751938283483554,1.418792149824963,1.4124306342990365,-3.8151185182163645,0.225,0.775,1.0,1.0,1.0,1.0,0.9125,0.4125,0.5875,security_margin,67,23.42729202800001,146.42057517500007,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,128.34602201764616,0.11875000000000005,0.11875000000000005,0.30625,0.28125,0.30625,0.5421910035851287,0.4578089964148713,0.8021626376102885,1.4433662090379014,1.436748485371327,-4.157032199113375,0.21875,0.78125,1.0,1.0,1.0,1.0,0.8625,0.4375,0.5625,security_margin,68,23.03472031800038,143.96700198750239,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
