avg_twin_badness,avg_secrecy_rate,tfscc,eve_speed
0.1452410515023445,3.139116847212929,-0.20201924588982928,2.0
0.1452410515023445,3.139116847212929,,2.0
0.1452410515023445,3.139116847212929,,2.0
0.1452410515023445,3.139116847212929,,2.0
0.1553089161787741,3.138261930381386,0.08491540748899129,2.0
0.1800832902740034,3.138178579625643,0.0033643940074039157,2.0
0.18555439350609984,3.1392131588949304,-0.18909883900892382,2.0
0.18555439350609984,3.1392131588949304,,2.0
0.18555439350609984,3.1392131588949304,,2.0
0.18555439350609984,3.1392131588949304,,2.0
0.23331139192233882,3.13947922061703,-0.005571156708401571,2.0
0.23880033683929858,3.138344395477889,0.20674740889357396,2.0
0.23880033683929858,3.138344395477889,,2.0
0.23880033683929858,3.138344395477889,,2.0
0.23880033683929858,3.138344395477889,,2.0
0.32759190615331996,3.1329470838634603,0.060786307260102604,2.0
0.33607028109574816,3.132499398298677,0.05280322795623572,2.0
0.41800268388192113,3.137577541953956,-0.06197967449498942,2.0
0.02754794159760614,3.197976110173935,,4.0
0.02754794159760614,3.197976110173935,,4.0
0.05139886630836459,3.198093615325258,-0.004926649710562931,4.0
0.05139886630836459,3.198093615325258,,4.0
0.05139886630836459,3.198093615325258,,4.0
0.09813798749987408,3.1977699587015778,0.006924747736569835,4.0
0.09813798749987408,3.1977699587015778,,4.0
0.09813798749987408,3.1977699587015778,,4.0
0.09813798749987408,3.1977699587015778,,4.0
0.14173762657791447,3.197976110173935,-0.004728283919696102,4.0
0.14457088483913333,3.197969984793659,0.002161956204181227,4.0
0.14457088483913333,3.197969984793659,,4.0
0.14457088483913333,3.197969984793659,,4.0
0.14457088483913333,3.197969984793659,,4.0
0.15471056243827622,3.197976110173935,-0.0006041001023945383,4.0
0.1795650291252595,3.198093615325258,-0.004727727728089045,4.0
0.18438865306068206,3.1977179984051443,0.07787027453680867,4.0
0.18438865306068206,3.1977179984051443,,4.0
0.18438865306068206,3.1977179984051443,,4.0
0.18438865306068206,3.1977179984051443,,4.0
0.23182272140041946,3.197976110173935,-0.005441484945842778,4.0
0.23787767512514532,3.197119829475632,0.14141820684877016,4.0
0.23787767512514532,3.197119829475632,,4.0
0.23787767512514532,3.197119829475632,,4.0
0.23787767512514532,3.197119829475632,,4.0
0.32686535921223914,3.1976601158818547,-0.006071473954687204,4.0
0.33533410660582524,3.197671130913505,-0.0013006683442576717,4.0
0.41490979848612514,3.1977608053945867,-0.0011269079660224575,4.0
